Account_No	Loan_ID	Started_year	Started_date	Current Loan Amount	Monthly Debt	Interest.Rate	Maximum Open Credit
ACC102617607	34209-17918	2019	04/02/2019	280588	17447.89	10.36%	470360
ACC102639753	34210-16835	2019	12/10/2019	556336	19524.4	15.80%	389246
ACC102655593	28258-250593	2019	9/21/2019	541310	52733.36	6.62%	619432
ACC102665784	32523-106836	2020	2/21/2020	311872	28191.06	5.42%	591338
ACC102696235	24927-239346	2020	1/30/2020	340604	21205.52	14.33%	368808
ACC102819975	32328-123449	2020	3/15/2020	765160	34582.47	17.44%	489302
ACC102869778	34292-76574	2019	4/18/2019	109802	1497.39	17.77%	186604
ACC102876917	26743-245288	2020	03/10/2020	349756	23258.28	6.62%	660396
ACC102883264	26048-243344	2020	03/06/2020	545886	41477	7.90%	296714
ACC102897790	32714-122107	2019	5/15/2019	135345	31257.66	8.49%	1073028
ACC102913817	1968-136466	2019	06/05/2019	354046	5522.16	12.69%	70840
ACC102938090	27950-248318	2020	1/30/2020	472098	24517.22	15.80%	968506
ACC102940022	32425-106837	2019	09/10/2019	86174	10884.91	19.05%	671770
ACC10294220	32457-106838	2019	9/27/2019	509586	26180.67	11.83%	319638
ACC102972144	48097-261445	2019	2/21/2019	135345	29348.92	14.33%	724680
ACC103040201	1577-123446	2019	04/02/2019	218988	8141.88	8.90%	186230
ACC103135295	3169-123447	2019	3/19/2019	176462	14223.59	20.50%	1080552
ACC103136713	34336-97974	2019	6/25/2019	328262	20411.32	21.00%	472758
ACC103162369	48522-263630	2019	10/06/2019	663168	22145.83	12.87%	543774
ACC103178567	24139-236004	2019	9/29/2019	338030	12144.04	12.12%	419232
ACC10320485	34320-74020	2019	08/07/2019	446094	30975.51	14.65%	85998
ACC103206026	15976-165685	2019	3/29/2019	133078	9117.34	21.74%	243760
ACC103214903	16528-168726	2019	11/13/2019	278058	18706.64	19.05%	1171566
ACC103231943	22125-218025	2020	01/10/2020	135345	17224.07	17.77%	150678
ACC103232653	18837-193244	2019	03/07/2019	752290	39252.86	12.86%	513502
ACC103265319	31002-101076	2019	4/30/2019	135345	8046.88	14.33%	238370
ACC103366725	34346-97779	2020	04/06/2020	105556	18234.11	7.90%	846890
ACC103379708	48396-262946	2019	12/12/2019	262724	21508.76	15.31%	394218
ACC103398813	17045-172945	2019	1/24/2019	54076	2655.06	7.90%	282260
ACC103419512	28071-249840	2019	07/06/2019	552882	23770.71	15.96%	694056
ACC103429765	1911-138604	2020	4/15/2020	257400	13740.99	10.74%	274626
ACC103439009	34228-219605	2019	02/06/2019	462088	17759.3	7.66%	1603712
ACC103490426	3172-113584	2020	4/15/2020	460152	21330.92	17.99%	5396072
ACC103496438	17964-183966	2020	3/28/2020	402534	23639.8	11.14%	1332188
ACC103500297	34252-54259	2019	7/19/2019	129844	16120.17	23.28%	212058
ACC103542122	34253-62541	2020	2/21/2020	232716	12942.99	18.64%	389026
ACC103566689	1359-138434	2019	6/19/2019	286462	27378.62	7.90%	335522
ACC103589245	34259-54260	2019	11/25/2019	223256	6774.64	18.39%	587818
ACC103656638	34217-27108	2020	1/15/2020	348832	3257.36	6.03%	167860
ACC103678530	22697-223524	2019	2/22/2019	537878	24963.53	7.62%	515306
ACC103699196	1278-139526	2020	02/06/2020	196460	15160.1	12.23%	410718
ACC103700842	16436-159304	2019	1/31/2019	214786	11924.97	17.27%	193314
ACC103703133	47294-254164	2019	08/09/2019	109538	5770.68	14.09%	151206
ACC103713932	25823-198067	2020	03/10/2020	259116	21678.81	9.88%	720918
ACC103735196	15008-157047	2019	10/02/2019	117986	3207.77	7.51%	351296
ACC103739172	26540-219150	2019	4/25/2019	133804	16756.48	10.75%	260898
ACC103778899	47751-259030	2019	05/02/2019	87846	6988.96	6.03%	714978
ACC103784406	47750-259026	2019	12/05/2019	332684	12702.26	13.11%	640266
ACC103794992	16898-173464	2019	5/25/2019	190498	8996.12	7.90%	117744
ACC103796163	8091-151284	2019	05/01/2019	448822	21576.4	10.38%	981838
ACC103797074	1271-136936	2020	1/17/2020	229086	6543.79	13.99%	152460
ACC103801420	8895-151508	2019	12/13/2019	393558	22015.3	13.11%	145552
ACC103841770	15006-157046	2019	01/04/2019	151954	14341.77	7.90%	219142
ACC103859770	15219-158845	2019	4/25/2019	135345	7125	7.14%	286440
ACC103866030	47724-230145	2020	2/25/2020	254562	13549.66	15.99%	743600
ACC103897315	15474-156010	2019	9/13/2019	87912	3432.73	12.42%	301026
ACC103930944	16786-175824	2019	01/09/2019	156178	8617.64	5.99%	108790
ACC103978330	16444-169428	2019	01/04/2019	645018	40386.97	19.22%	1468302
ACC10397936	3632-142527	2019	06/11/2019	605726	43610.7	9.76%	475772
ACC104040303	3628-142530	2019	11/11/2019	135345	9041.34	19.03%	116468
ACC104064153	15478-161685	2019	10/05/2019	168300	11762.14	11.12%	273042
ACC104069031	26464-238685	2019	10/21/2019	174460	10547.47	12.69%	443586
ACC104079469	7123-150606	2019	01/04/2019	768394	19264.67	12.42%	559592
ACC104081492	26539-230148	2019	5/31/2019	314226	34959.43	15.31%	969034
ACC104082759	25324-219149	2019	4/16/2019	64966	23172.21	9.07%	1344574
ACC10411599	13054-156007	2019	09/07/2019	300366	13400.32	20.49%	338932
ACC104144975	15654-164107	2019	11/16/2019	263648	12808.28	14.09%	202092
ACC10415297	15329-160024	2019	4/18/2019	135345	14152.91	17.99%	299156
ACC104159790	26461-232984	2020	2/23/2020	716958	31765.72	10.65%	228624
ACC104183580	16744-173424	2019	10/03/2019	459602	12859.01	15.80%	468204
ACC104227201	26535-240364	2019	2/14/2019	405856	32264.85	20.50%	594198
ACC104256389	47283-246923	2019	1/30/2019	547580	9758.4	17.27%	790064
ACC104266858	1290-142064	2019	2/20/2019	175428	2594.45	6.62%	96470
ACC104286901	49438-156016	2020	3/21/2020	216370	6446.89	17.27%	551320
ACC104310176	9126-151506	2020	1/19/2020	135345	11849.54	13.85%	496870
ACC104330627	20313-198064	2019	11/07/2019	234806	3676.69	7.51%	167750
ACC104335901	16600-173444	2019	06/11/2019	25806	6377.16	7.90%	47432
ACC104349196	1270-136935	2019	6/26/2019	332706	10855.08	21.98%	498828
ACC104349533	16743-175224	2019	3/25/2019	333124	13110.76	15.80%	384032
ACC104370141	1282-139530	2020	01/02/2020	441276	24017.52	10.38%	2245848
ACC104370482	1273-137353	2019	7/13/2019	327756	9271.81	6.03%	292732
ACC104376712	3525-142748	2019	11/01/2019	135345	16577.88	15.81%	594242
ACC104377618	1284-140707	2020	02/11/2020	476586	18241.52	12.12%	214654
ACC104426539	17802-185946	2020	03/02/2020	263450	7319.18	16.29%	621610
ACC104429071	26459-238684	2019	9/27/2019	261800	21087.72	18.49%	274780
ACC104469763	32499-133544	2019	01/11/2019	433136	17969.44	15.31%	426514
ACC10447245	1277-139525	2019	11/16/2019	322124	16915.32	18.75%	341506
ACC104510521	9199-152184	2019	11/19/2019	107536	22176.61	6.62%	197868
ACC104565093	3803-153444	2020	04/07/2020	355410	13237.11	7.49%	397518
ACC104580159	29536-246926	2019	8/30/2019	437668	5993.55	15.80%	562584
ACC104608905	16370-170264	2019	10/25/2019	377322	17068.08	14.22%	494824
ACC104611882	1281-139529	2019	3/24/2019	606122	24079.46	15.31%	332156
ACC104627723	19948-198065	2020	04/08/2020	520982	17013.17	14.09%	475178
ACC104669833	15142-156008	2019	3/26/2019	304590	28960.18	13.11%	619982
ACC104700449	24877-228684	2020	04/06/2020	472362	22218.03	13.11%	542146
ACC104704727	19944-202505	2020	04/03/2020	322872	10895.17	13.17%	357698
ACC104710659	15005-157045	2019	11/25/2019	149402	18723.17	8.90%	539572
ACC104745116	6177-149892	2019	2/15/2019	150458	4446.19	11.14%	316492
ACC104802557	16479-169427	2020	05/06/2020	268268	6896.62	6.03%	429044
ACC104810645	15509-158844	2019	5/18/2019	341352	10327.83	17.27%	110858
ACC104847579	17243-180104	2019	8/30/2019	432256	16305.8	16.29%	638088
ACC104927920	7027-149890	2019	10/27/2019	301114	5948.71	16.77%	372746
ACC104929353	24640-221027	2020	2/20/2020	79398	13459.03	18.25%	317526
ACC104963998	1279-139527	2019	8/28/2019	171842	6734.17	11.89%	558228
ACC104971839	15653-164104	2020	02/12/2020	329120	21601.48	19.04%	683980
ACC105004683	26538-230144	2019	6/19/2019	486288	22612.47	17.77%	821282
ACC105007915	20619-198066	2019	11/23/2019	104368	22559.08	18.75%	195580
ACC105033379	7152-150785	2019	5/19/2019	205854	31647.73	10.08%	251284
ACC105046957	15098-156012	2019	10/01/2019	96690	4598.76	8.59%	329582
ACC105047610	15459-161686	2020	2/29/2020	111408	18762.12	6.76%	465674
ACC105066142	15059-157325	2020	4/21/2020	284152	15202.66	17.58%	366146
ACC105070062	1285-140708	2019	01/11/2019	269170	15110.51	16.29%	639584
ACC105070464	15058-157324	2019	11/27/2019	149116	18171.98	11.71%	112574
ACC105131048	16237-169426	2020	01/06/2020	396792	7522.29	18.75%	835802
ACC105204437	8177-151507	2020	01/02/2020	128832	8381.85	15.31%	64372
ACC105205269	3629-142529	2019	04/07/2019	152790	4450.94	19.05%	229086
ACC105206484	23695-219147	2019	10/20/2019	152966	10845.96	12.12%	302654
ACC105210588	16690-174425	2019	01/12/2019	292292	6223.45	6.92%	198352
ACC10524491	24076-221025	2019	3/28/2019	449460	19039.71	14.33%	510290
ACC10525473	15672-164105	2019	7/26/2019	86724	7352.62	19.41%	182226
ACC105271209	3633-142525	2020	01/03/2020	67166	42060.68	10.16%	927014
ACC105277945	25325-232985	2019	10/21/2019	223850	7684.74	15.31%	301928
ACC105351984	19945-198044	2019	11/29/2019	763840	23640.18	7.90%	1141800
ACC105368096	15458-161684	2019	05/03/2019	83864	11711.6	14.33%	107932
ACC105391696	3554-153291	2020	2/27/2020	135345	6530.49	11.49%	37620
ACC105401234	15150-156011	2019	10/18/2019	142846	16246.71	7.88%	112662
ACC105409836	4034-136938	2019	07/05/2019	551980	33528.54	10.16%	441518
ACC105472167	8090-154364	2019	2/26/2019	504658	4100.2	15.81%	397408
ACC105477427	24876-231226	2019	03/04/2019	135345	3848.07	16.82%	198682
ACC105487643	26472-239830	2019	07/01/2019	177628	5027.59	8.00%	172062
ACC105650675	9125-149965	2019	3/28/2019	135345	30547.82	17.99%	504086
ACC105691545	21445-212345	2020	1/24/2020	398464	15356.37	6.62%	650276
ACC105740749	20331-204904	2020	4/19/2020	732028	32041.22	5.99%	1017698
ACC105741321	21525-212344	2020	2/24/2020	660132	18931.03	12.12%	927762
ACC105786029	47742-259028	2019	06/02/2019	25894	12723.73	13.67%	492008
ACC105786897	47803-259029	2020	1/20/2020	553366	35698.91	7.90%	657184
ACC105801595	17240-171905	2019	06/05/2019	77132	47284.16	19.22%	703142
ACC105823798	47752-259027	2020	3/16/2020	128634	9891.4	15.31%	134178
ACC105823887	17241-171904	2019	11/29/2019	429264	34060.73	16.29%	1520398
ACC105835029	15673-163045	2019	1/25/2019	131032	2696.86	18.64%	255684
ACC105885399	15651-163044	2019	11/19/2019	427988	3640.78	13.43%	378576
ACC105897920	47305-254784	2019	8/30/2019	204248	10788.39	9.63%	588522
ACC105904243	47235-248696	2019	11/28/2019	653334	29309.21	11.97%	548724
ACC105937484	47289-254786	2019	11/05/2019	226336	6331.56	13.11%	230428
ACC105956293	16161-168806	2020	02/01/2020	135345	20376.17	10.75%	19800
ACC105981758	22131-168807	2019	4/24/2019	216612	19006.65	18.49%	955042
ACC105990578	16290-163049	2019	2/15/2019	218130	9142.8	18.67%	239888
ACC106011412	16302-163050	2019	08/12/2019	449768	31269.06	6.03%	1515118
ACC106017609	21998-216824	2019	5/18/2019	431288	33879.85	14.09%	409838
ACC106028071	19939-196684	2020	04/02/2020	541794	12766.67	23.76%	557634
ACC10605040	21799-140452	2019	1/24/2019	448404	19339.72	19.03%	504064
ACC106060688	19767-199325	2019	06/02/2019	117854	15069.09	16.40%	609994
ACC106064966	25921-242984	2019	10/28/2019	537196	55072.83	10.16%	1466542
ACC106080886	40206-77760	2020	05/06/2020	196108	11397.34	15.33%	259402
ACC106083355	40202-69420	2019	01/03/2019	337656	12254.05	14.27%	119416
ACC10608741	23739-161864	2020	04/03/2020	441628	34469.61	6.54%	90530
ACC106094687	15134-158024	2019	04/04/2019	448272	16289.08	12.12%	157432
ACC106124933	40213-99693	2019	01/01/2019	581592	20455.02	11.89%	629970
ACC106174636	40212-96779	2019	12/09/2019	63140	2122.49	7.62%	119592
ACC10617610	40204-76700	2020	3/20/2020	223344	24111	14.11%	236830
ACC106224212	31077-103980	2020	4/21/2020	436172	13623.76	11.49%	2156110
ACC106229547	32495-133884	2019	5/14/2019	157146	12610.11	7.49%	426602
ACC106244550	13074-150484	2019	3/15/2019	178046	18537.35	7.90%	578666
ACC106285710	19247-200084	2020	04/05/2020	135345	12757.55	11.99%	195448
ACC106316071	17786-183845	2020	1/23/2020	135345	2481.02	9.76%	0
ACC106344327	32492-120288	2019	10/23/2019	216194	8081.46	8.90%	174240
ACC106389633	49778-271255	2019	8/20/2019	430100	23782.11	13.99%	716188
ACC106398922	25291-240407	2020	3/24/2020	562760	12426	6.03%	684178
ACC106422810	48100-261428	2019	08/12/2019	215006	22042.47	14.33%	464266
ACC106431038	25277-240391	2019	6/19/2019	325622	8831.01	15.80%	415250
ACC106463509	25290-240408	2020	4/19/2020	118998	10037.7	5.42%	518144
ACC106507046	25296-240405	2019	09/03/2019	334356	25635.75	5.99%	1363098
ACC106585474	25276-240390	2020	4/13/2020	266926	20139.43	11.99%	422180
ACC106587783	25279-240396	2019	09/04/2019	224796	4925.37	13.98%	296780
ACC106609164	25299-240395	2019	6/20/2019	401852	15059.97	20.49%	101376
ACC106610333	25282-240406	2019	07/04/2019	309540	26895.83	20.49%	262108
ACC106629167	25278-240393	2020	1/27/2020	273482	13667.27	11.86%	109758
ACC106630987	25288-240410	2019	4/17/2019	323708	21047.44	15.31%	924242
ACC106654035	25287-240411	2019	01/12/2019	88528	2550.94	8.59%	241142
ACC106713669	25292-240421	2019	12/16/2019	249568	12209.21	8.90%	569536
ACC106725636	25285-240413	2020	01/11/2020	135345	9145.08	14.61%	122144
ACC106726333	24303-236999	2019	5/22/2019	416834	17525.79	9.76%	587884
ACC106735837	25295-240418	2019	8/30/2019	110902	30290.18	8.94%	377366
ACC106750909	25294-240419	2020	05/06/2020	132022	14180.08	10.16%	251108
ACC106781084	25293-240420	2019	8/20/2019	277948	29465.58	12.12%	129294
ACC106810115	25286-240412	2020	2/23/2020	219186	14779.72	13.49%	939708
ACC106847356	25283-240416	2019	1/14/2019	178684	19514.14	13.11%	281534
ACC106850688	49790-270953	2019	5/31/2019	108526	7380.17	22.47%	108504
ACC106858331	15476-160864	2019	02/10/2019	222156	16960.54	7.90%	339922
ACC106876677	3635-146029	2020	02/08/2020	205524	18479.59	6.92%	864754
ACC106932087	3634-146030	2020	4/25/2020	134618	16196.74	14.11%	1061170
ACC10699572	28752-250830	2020	01/08/2020	94974	4842.53	15.05%	341000
ACC106997694	25822-240094	2019	04/12/2019	523248	39286.68	14.91%	906466
ACC107003950	28135-250266	2019	5/27/2019	588544	15284.36	17.77%	1118722
ACC107029320	29399-253484	2019	08/12/2019	135345	14656.6	21.67%	224334
ACC107058093	48462-260556	2019	10/22/2019	319330	35750.4	22.47%	785598
ACC107079042	26401-240667	2020	04/01/2020	391468	10025.16	18.49%	169620
ACC107088999	26399-240668	2019	4/13/2019	135345	15472.27	14.27%	881606
ACC107130258	48459-260557	2019	6/19/2019	432168	21386.4	18.55%	799216
ACC107151963	18497-185504	2020	02/06/2020	628474	26568.46	7.51%	603702
ACC10717363	20374-205052	2019	10/21/2019	513524	28543.7	13.11%	849618
ACC107229541	18478-186824	2019	6/13/2019	765006	5780.94	11.71%	1978966
ACC107273007	6104-148664	2019	05/03/2019	141636	13227.04	17.27%	201322
ACC107292809	17990-180284	2019	8/28/2019	135345	2498.5	14.09%	220044
ACC107299370	15272-158067	2019	11/03/2019	130328	12647.73	7.62%	757834
ACC107299557	17299-177127	2020	01/03/2020	268664	16049.11	16.89%	818576
ACC107313562	15759-164604	2020	3/15/2020	753368	75878.02	13.11%	1378872
ACC107320121	20894-198024	2020	04/01/2020	448712	33722.91	11.14%	895906
ACC107323728	17489-177128	2019	11/29/2019	334686	12284.45	17.77%	863060
ACC107337256	32639-137287	2020	3/24/2020	125004	27041.75	12.12%	667568
ACC107354310	1338-245953	2019	08/12/2019	135345	1873.4	19.22%	122958
ACC107365448	6030-137290	2020	2/24/2020	242616	41396.25	14.09%	745338
ACC107409532	28830-248724	2019	07/09/2019	175076	7983.8	13.11%	240856
ACC107420347	19372-201645	2019	12/30/2018	107712	7256.67	14.33%	671572
ACC107478781	1460-137881	2020	4/14/2020	155210	17466.51	15.31%	640464
ACC107599693	1459-137880	2020	01/09/2020	135345	15088.09	11.83%	403458
ACC107626721	22556-222345	2019	08/07/2019	712404	20262.93	21.98%	358556
ACC107644098	1603-141846	2019	10/23/2019	753610	35221.06	22.95%	1086866
ACC107674118	1370-137876	2020	3/14/2020	154748	8539.55	7.90%	1425820
ACC107699345	47088-256773	2020	04/09/2020	251416	13480.5	18.75%	222838
ACC107730318	21603-213405	2020	01/08/2020	764390	34869.75	17.77%	1089902
ACC107745709	17255-179926	2019	12/14/2019	215006	20639.13	18.55%	284130
ACC107806748	17189-179925	2019	03/11/2019	616902	18626.27	21.00%	433818
ACC107807037	15439-161444	2019	4/23/2019	135345	23263.41	9.63%	1053052
ACC107816637	47377-258065	2019	5/29/2019	135345	16174.89	22.11%	1549284
ACC10782345	26955-246149	2020	3/13/2020	447788	6497.05	9.25%	2074886
ACC107849864	21148-209545	2019	1/18/2019	170962	7426.15	16.83%	622534
ACC107854090	34324-95973	2019	7/18/2019	135345	25442.14	11.71%	730092
ACC107907957	34234-33223	2020	05/12/2020	340362	22936.8	18.75%	1242340
ACC107933689	34286-79020	2019	8/14/2019	332222	11733.07	6.62%	717420
ACC107968096	1349-112145	2019	07/11/2019	135345	10988.84	14.09%	1315666
ACC107986324	32717-122090	2019	8/22/2019	135345	17081.57	18.55%	276298
ACC107991831	34218-27369	2019	6/24/2019	440132	4157.2	12.12%	219956
ACC108011343	34345-98401	2019	03/02/2019	403414	14597.13	14.09%	91916
ACC10801433	32716-134986	2019	3/29/2019	112574	10706.5	13.11%	770440
ACC108038977	18359-188905	2020	3/24/2020	88198	3407.08	5.79%	725098
ACC108121690	34302-86720	2019	10/18/2019	764544	17685.96	13.61%	657118
ACC108138022	23604-225764	2019	10/29/2019	224642	14080.33	13.11%	1047200
ACC108166889	1582-122086	2019	7/27/2019	446336	7573.59	7.88%	238898
ACC108218423	3639-145205	2019	01/02/2019	447656	20342.16	14.33%	503316
ACC108233901	26078-242484	2019	11/01/2019	261910	24334.82	15.96%	767272
ACC108277055	22537-220404	2019	8/28/2019	746372	40670.64	10.16%	1461482
ACC108285318	22537-221644	2019	12/13/2019	146982	25030.22	21.74%	828872
ACC108291586	24922-223884	2019	01/08/2019	533698	30270.61	10.74%	589644
ACC108297906	25025-239325	2019	10/07/2019	316514	12437.59	6.03%	582560
ACC108300052	24171-224044	2019	1/23/2019	563068	35960.92	20.50%	917774
ACC108364249	27289-247144	2019	07/01/2019	163482	6447.65	10.75%	318186
ACC108373421	26388-239190	2019	6/25/2019	173316	6457.15	13.06%	780384
ACC108377271	24172-224045	2019	02/06/2019	133936	6969.39	14.33%	151910
ACC108379675	16178-168205	2019	1/19/2019	64526	4799.4	14.09%	172128
