BRANCH_ID,Account_No,Cutomer_ID,Started_Year,Started_Month,Current Credit Balance
CC25077,ACC101427328,6FN97QLQ,2016,4,132468
CC25078,ACC101476439,3H5MZDDW,2017,4,213921
CC25079,ACC101493085,2DXZZWSN,2013,9,266266
CC25080,ACC101494614,MM4QIRE5,2014,9,45106
CC25081,ACC10149780,HJWVYXUA,2015,8,223117
CC25082,ACC101518574,RBRSJUP3,2016,8,209304
CC25083,ACC101534320,YFRQKGXW,2017,9,161861
CC25084,ACC101566236,N3SADEBV,2013,6,452770
CC25085,ACC101566727,G2A2YYXY,2014,8,254277
CC25086,ACC101592758,XMGA3WT3,2015,4,285589
CC25087,ACC101624506,KVZQPSGI,2016,7,126350
CC25088,ACC101627092,UAKARBBG,2017,1,733324
CC25089,ACC101641642,WYKKL85Z,2013,6,206872
CC25090,ACC101648448,GHNYYGRR,2014,4,104633
CC25091,ACC101655463,UBAJANWT,2015,4,496052
CC25092,ACC101665843,LSARSF7U,2016,4,110428
CC25093,ACC101701665,4CNSJVVR,2017,10,40489
CC25094,ACC1017083,JRHJSWYO,2013,10,176624
CC25095,ACC101736339,FHZ8SVVI,2014,9,252016
CC25096,ACC101751158,JUIRE47M,2015,9,120916
CC25097,ACC101798587,GDIVN2GL,2016,9,5246261
CC25098,ACC10179961,WMF3DYE3,2017,9,25460
CC25099,ACC101804570,MAQEHEWK,2013,9,474658
CC25100,ACC101805080,2W8DLKFU,2014,9,389994
CC25101,ACC101910479,AKGRML6H,2015,4,483968
CC25102,ACC101911234,B7WUUGCY,2016,4,439033
CC25103,ACC101922709,TLJOYATM,2017,6,314773
CC25104,ACC101991271,UH6ZDM3W,2013,4,93081
CC25105,ACC101991796,7IP5SSRR,2014,9,129504
CC25106,ACC102007405,PV85PMEB,2015,9,348802
CC25107,ACC102026593,FGDOY4NI,2016,9,247912
CC25108,ACC102055086,7YYIXJQE,2017,8,1426425
CC25109,ACC102139391,BHW42XPW,2013,4,113278
CC25110,ACC102160978,3PKEEAT4,2014,1,237500
CC25111,ACC102172086,ACFPZ3LM,2015,6,66025
CC25112,ACC10217442,6GORGNYN,2016,1,201780
CC25113,ACC102174484,AEPQTMJK,2017,6,321214
CC25114,ACC102184080,S6FNZFKK,2013,4,232674
CC25115,ACC102197658,JTYNEKRQ,2014,8,127946
CC25116,ACC102240326,GPXDPHHC,2015,9,35663
CC25117,ACC102253114,O8TMKNNB,2016,6,373350
CC25118,ACC102272113,XSQVHKYG,2017,4,499548
CC25119,ACC102293467,MJ3CZRAE,2013,1,205637
CC25120,ACC102325941,3NSQEYBJ,2014,4,75335
CC25121,ACC10233035,SXVBASGH,2015,7,25441
CC25122,ACC102339442,5ZIGZYSS,2016,9,176396
CC25123,ACC102355309,FQSHBCUT,2017,9,563008
CC25124,ACC102357704,MU45XUBP,2013,1,807462
CC25125,ACC102358915,BVULDPBI,2014,4,277419
CC25126,ACC102367958,82GRNPFG,2015,8,648850
CC25127,ACC102386591,KKBNELBF,2016,4,38456
CC25128,ACC102410237,HXQGBDGY,2017,8,200127
CC25129,ACC102445746,28HDZICG,2013,4,160550
CC25130,ACC102447757,GHBPKPJC,2014,4,260072
CC25131,ACC102496875,FDWZFSSC,2015,9,138586
CC25132,ACC102498456,FWTIWZF3,2016,9,137845
CC25133,ACC102512534,JYMHVPMY,2017,9,108148
CC25134,ACC102548333,AHUDO2T6,2013,9,167656
CC25135,ACC102556533,ACDHABS3,2014,9,61199
CC25136,ACC102561339,5NTYJJDV,2015,9,32300
CC25137,ACC102570451,2M4VPY4V,2016,9,125609
CC25138,ACC102599395,KAHP9XLF,2017,9,486001
CC25139,ACC102617607,YRLEWZFQ,2013,4,168169
CC25140,ACC102639753,JZWVLXHJ,2014,9,317338
CC25141,ACC102655593,JZZSXUKT,2015,9,356288
CC25142,ACC102665784,93RURE2J,2016,9,391723
CC25143,ACC102696235,4RNB6FDV,2017,9,291137
CC25144,ACC102819975,27E7HMMG,2013,6,249755
CC25145,ACC102869778,2QEFQQWN,2014,1,91048
CC25146,ACC102876917,DDTCD2XI,2015,1,270332
CC25147,ACC102883264,VGVEYSEG,2016,9,80465
CC25148,ACC102897790,WCXVE7RK,2017,4,72276
CC25149,ACC102913817,RTN4R3UE,2013,4,20976
CC25150,ACC102938090,K2PVS4RB,2014,4,454176
CC25151,ACC102940022,Q36J686Z,2015,4,360867
CC25152,ACC10294220,NWKHMEOF,2016,7,115672
CC25153,ACC102972144,PVJYQQGT,2017,9,492556
CC25154,ACC103040201,GPUMRNWC,2013,9,100206
CC25155,ACC103135295,LXHCDSVH,2014,9,171703
CC25156,ACC103136713,BNIUPSVK,2015,9,229463
CC25157,ACC103162369,FW3QI3WW,2016,9,331075
CC25158,ACC103178567,IEEUGXMY,2017,8,321157
CC25159,ACC10320485,FVVXDLBO,2013,4,76
CC25160,ACC103206026,UC2JJB6Y,2014,9,111568
CC25161,ACC103214903,3WPAHP52,2015,9,207423
CC25162,ACC103231943,HDTCJJOE,2016,8,57000
CC25163,ACC103232653,UCSB9GKK,2017,8,431053
CC25164,ACC103265319,HANBFYTH,2013,4,69179
CC25165,ACC103366725,FLUU2HNV,2014,1,220894
CC25166,ACC103379708,64PIYWDJ,2015,4,337725
CC25167,ACC103398813,9AHNH8ZX,2016,9,19988
CC25168,ACC103419512,KLHUI2SE,2017,9,299706
CC25169,ACC103429765,YRHYUJFW,2013,9,191159
CC25170,ACC103439009,G5RWWH7F,2014,10,627418
CC25171,ACC103490426,SCBT9BAX,2015,10,1220978
CC25172,ACC103496438,UGZGLVNB,2016,7,691467
CC25173,ACC103500297,2RRNUFBV,2017,9,110618
CC25174,ACC103542122,B6O59TEY,2013,8,226442
CC25175,ACC103566689,CYHRRYH6,2014,1,177916
CC25176,ACC103589245,GGYZVHWU,2015,4,308142
CC25177,ACC103656638,K6AM97RN,2016,4,90022
CC25178,ACC103678530,ATM5JQYM,2017,4,249223
CC25179,ACC103699196,7GYZSGWA,2013,1,138700
CC25180,ACC103700842,DFWUDQCR,2014,7,154755
CC25181,ACC103703133,E2Z98CR3,2015,7,86716
CC25182,ACC103713932,GD9KTSLY,2016,9,254030
CC25183,ACC103735196,2AMRA4OD,2017,8,80408
CC25184,ACC103739172,CFHZ3ZE6,2013,4,105450
CC25185,ACC103778899,BOMLVM5K,2014,4,96330
CC25186,ACC103784406,OBBEGBSY,2015,6,472226
CC25187,ACC103794992,FJEHOK8W,2016,4,88160
CC25188,ACC103796163,3GMAEVPJ,2017,4,669028
CC25189,ACC103797074,WAVDLUTH,2013,9,71231
CC25190,ACC103801420,6EN8GZX6,2014,6,124184
CC25191,ACC103841770,VXGA3GKB,2015,1,107692
CC25192,ACC103859770,U4MZ3U8C,2016,6,165984
CC25193,ACC103866030,GU4RDP8S,2017,4,261383
CC25194,ACC103897315,N3TPNHCD,2013,4,86051
CC25195,ACC103930944,JRRHWQC8,2014,4,6194
CC25196,ACC103978330,NZ5GBHZK,2015,7,640376
CC25197,ACC10397936,LCUC2LAJ,2016,9,378423
CC25198,ACC104040303,DJDSU9D2,2017,9,95855
CC25199,ACC104064153,647K6DBR,2013,9,128041
CC25200,ACC104069031,7NFXVESK,2014,9,55176
CC25201,ACC104079469,EWUWF25N,2015,10,421420
CC25202,ACC104081492,7QKYPLA8,2016,10,662815
CC25203,ACC104082759,XQVXWBNO,2017,8,858154
CC25204,ACC10411599,CNWH4MVA,2013,4,179721
CC25205,ACC104144975,AFJUJFQD,2014,6,61788
CC25206,ACC10415297,QKMFDX9H,2015,6,210045
CC25207,ACC104159790,YYMB5QBY,2016,4,168815
CC25208,ACC104183580,IRY3SEX7,2017,4,390621
CC25209,ACC104227201,CUAUZJH8,2013,1,338181
CC25210,ACC104256389,JYFUYQF5,2014,4,435328
CC25211,ACC104266858,I4NYEDFE,2015,9,70832
CC25212,ACC104286901,M3RSPRGQ,2016,9,239970
CC25213,ACC104310176,JIL3KWQN,2013,9,46341
CC25214,ACC104330627,X4B5ZBWU,2014,6,86051
CC25215,ACC104335901,AHYTHHSE,2015,6,8189
CC25216,ACC104349196,E7EHQEQK,2016,1,220571
CC25217,ACC104349533,FAMHAVN3,2013,3,173128
CC25218,ACC104370141,CCGKCTR6,2014,2,678851
CC25219,ACC104370482,6DTSELRV,2015,5,245727
CC25220,ACC104376712,LU8X3G6O,2016,6,378746
CC25221,ACC104377618,NPFDAUJY,2013,1,91580
CC25222,ACC104426539,DR9PXCFU,2014,6,169100
CC25223,ACC104429071,SHVZMWBV,2015,1,178220
CC25224,ACC104469763,8TGXGZHX,2016,5,355471
CC25225,ACC10447245,IKRSHJFW,2013,6,205865
CC25226,ACC104510521,TYKRZDCP,2014,6,107483
CC25227,ACC104565093,9IDA3L7P,2015,2,297293
CC25228,ACC104580159,ASOWCMDB,2016,6,326496
CC25229,ACC104608905,KZ5J2JGC,2017,6,358549
CC25230,ACC104611882,D5UCFKTV,2013,6,168378
CC25231,ACC104627723,2N8FFP7W,2014,3,267976
CC25232,ACC104669833,SA36MTFS,2015,4,314830
CC25233,ACC104700449,8UDMURUH,2016,1,392369
CC25234,ACC104704727,7VSQV6QN,2017,2,106894
CC25235,ACC104710659,IFUG9NC5,2013,6,163571
CC25236,ACC104745116,EQXDLQRG,2014,5,129827
CC25237,ACC104802557,JAR8YY9J,2015,4,207860
CC25238,ACC104810645,BS4TAF6M,2016,5,81377
CC25239,ACC104847579,WQJ9SPT9,2017,4,316331
CC25240,ACC104927920,7QHT4ON2,2013,4,59888
CC25241,ACC104929353,FNGPQN7B,2014,6,159315
CC25242,ACC104963998,DDOMDZRU,2015,1,330714
CC25243,ACC104971839,QYR9HXHP,2016,1,332576
CC25244,ACC105004683,S4NGXFXY,2017,1,407835
CC25245,ACC105007915,NOJ2KSCC,2013,2,116223
CC25246,ACC105033379,ZD2JRUNB,2014,3,195738
CC25247,ACC105046957,GZIPTSNN,2015,5,179037
CC25248,ACC105047610,LCFYUVE9,2016,4,283936
CC25249,ACC105066142,PPANVU9W,2017,4,182780
CC25250,ACC105070062,DRPV9STB,2013,2,392730
CC25251,ACC105070464,AFSPF3WZ,2014,1,95171
CC25252,ACC105131048,GPXEUNND,2015,2,295944
CC25253,ACC105204437,NSADMDSM,2016,6,36708
CC25254,ACC105205269,CKWJU8RQ,2017,6,119510
CC25255,ACC105206484,F7MNZSSU,2013,6,82593
CC25256,ACC105210588,BDGVMPZY,2014,6,81016
CC25257,ACC10524491,IA3MSRTR,2015,3,367992
CC25258,ACC10525473,JD3WTPMG,2016,3,109687
CC25259,ACC105271209,QT6DF6EW,2017,2,679725
CC25260,ACC105277945,NVDEMCZ2,2013,4,87609
CC25261,ACC105351984,9B6UTJVT,2014,5,606461
CC25262,ACC105368096,U6QYES9J,2015,6,18639
CC25263,ACC105391696,DZQPDSPS,2016,6,18715
CC25264,ACC105401234,CRGXVSBF,2017,6,53694
CC25265,ACC105409836,XIHJYS2V,2013,6,334780
CC25266,ACC105472167,7X2MC5GZ,2014,6,167827
CC25267,ACC105477427,ZBDVXTM5,2015,4,30552
CC25268,ACC105487643,UUBQPBR5,2016,1,94221
CC25269,ACC105650675,CUMZFBTD,2017,3,137997
CC25270,ACC105691545,E7QXYSQN,2013,6,326857
CC25271,ACC105740749,6UQAJP48,2014,1,628425
CC25272,ACC105741321,QHWB768Y,2015,3,452713
CC25273,ACC105786029,R6RXMXOJ,2016,4,30590
CC25274,ACC105786897,WXQGZG5K,2017,4,305349
CC25275,ACC105801595,GCUFKLHG,2013,4,588449
CC25276,ACC105823798,SJX4372M,2014,4,76133
CC25277,ACC105823887,VGEAMUZZ,2015,6,387353
CC25278,ACC105835029,ZWDXVKDF,2016,3,77520
CC25279,ACC105885399,WGMRCYLR,2017,5,132088
CC25280,ACC105897920,SI43K5CY,2013,4,225663
CC25281,ACC105904243,DSNBS2RS,2014,5,294291
CC25282,ACC105937484,XIMZCKSR,2015,5,79192
CC25283,ACC105956293,VEW9FXHT,2016,1,12084
CC25284,ACC105981758,JZJHDDDJ,2017,4,321670
CC25285,ACC105990578,4TYUR5HA,2013,4,202616
CC25286,ACC106011412,UHCDFDRX,2014,2,403028
CC25287,ACC106017609,E5QMOFUM,2015,6,280687
CC25288,ACC106028071,PSNVWDZH,2016,2,300029
CC25289,ACC10605040,5IQSWONG,2017,1,306907
CC25290,ACC106060688,CEAZEPY4,2013,5,404073
CC25291,ACC106064966,2TNRJXRX,2014,1,734597
CC25292,ACC106080886,BFROCARA,2015,4,185478
CC25293,ACC106083355,GRTJMRKM,2016,1,41876
CC25294,ACC10608741,6EDAM4EU,2017,4,58482
CC25295,ACC106094687,NRDB58KL,2013,5,115558
CC25296,ACC106124933,TCPJCWZR,2014,1,363983
CC25297,ACC106174636,KG8LD2BE,2015,3,58463
CC25298,ACC10617610,FHZ3XFDV,2016,3,100624
CC25299,ACC106224212,NZKCSDZ4,2017,4,387315
CC25300,ACC106229547,6DG6KJG4,2013,1,116793
CC25301,ACC106244550,BVPKDUNU,2014,4,486248
CC25302,ACC106285710,APR4PQ6X,2015,1,93347
CC25303,ACC106316071,HPWS8YFG,2016,4,0
CC25304,ACC106344327,VRPBGTPU,2017,4,96463
CC25305,ACC106389633,XBCSX7G7,2013,4,400178
CC25306,ACC106398922,KEH3G8UA,2014,4,478021
CC25307,ACC106422810,WXNAVFLT,2015,4,387714
CC25308,ACC106431038,8J8NJ7M6,2016,9,144172
CC25309,ACC106463509,D4UW7Y85,2017,9,320834
CC25310,ACC106507046,SZRESXN7,2013,9,271928
CC25311,ACC106585474,UUQSXK5T,2014,4,119586
CC25312,ACC106587783,GPMUKOVY,2015,4,115862
CC25313,ACC106609164,6FYOKAZ5,2016,6,58482
CC25314,ACC106610333,ENUB4N9S,2017,4,79686
CC25315,ACC106629167,KERBCSGE,2013,9,65683
CC25316,ACC106630987,7HTA4C6J,2014,4,546782
CC25317,ACC106654035,4BTVMT6W,2015,4,38532
CC25318,ACC106713669,MR3J9USD,2016,4,300048
CC25319,ACC106725636,7S83FNQW,2017,8,39026
CC25320,ACC106726333,MSOKLC7S,2013,9,219849
CC25321,ACC106735837,GFMNATHU,2014,4,104291
CC25322,ACC106750909,NG4ABA6H,2015,4,130131
CC25323,ACC106781084,3GFHRAQY,2016,6,66994
CC25324,ACC106810115,BCSGZZPE,2017,4,281618
CC25325,ACC106847356,PQ9MCGZC,2013,9,192337
CC25326,ACC106850688,K7N596CG,2014,9,71953
CC25327,ACC106858331,8RUL6JEE,2015,9,170563
CC25328,ACC106876677,CVOFJRMP,2016,9,592249
CC25329,ACC106932087,B4FQX4HG,2017,7,202540
CC25330,ACC10699572,W7HAQKDV,2013,9,162564
CC25331,ACC106997694,8C5PKJ7G,2014,9,621585
CC25332,ACC107003950,E4GQJZSQ,2015,8,428963
CC25333,ACC107029320,UENREGNV,2016,6,125742
CC25334,ACC107058093,CC4LYHEW,2017,4,381995
CC25335,ACC107079042,GDKGLTBT,2013,4,57570
CC25336,ACC107088999,G3ER8CGX,2014,1,480434
CC25337,ACC107130258,ZG4KT59X,2015,8,351329
CC25338,ACC107151963,LW93KJMZ,2016,8,252871
CC25339,ACC10717363,9AR5FBSQ,2017,4,469604
CC25340,ACC107229541,FHLWDMRV,2013,1,369170
CC25341,ACC107273007,EON5DCWD,2014,10,151791
CC25342,ACC107292809,J8UXTMYV,2015,4,71459
CC25343,ACC107299370,IXBW5HZH,2016,9,445721
CC25344,ACC107299557,LDHQB458,2017,9,318839
CC25345,ACC107313562,GNHTIKF3,2013,9,834784
CC25346,ACC107320121,8NO22KTE,2014,4,328054
CC25347,ACC107323728,SGJFSSJK,2015,4,406220
CC25348,ACC107337256,TD8D3NDD,2016,4,247342
CC25349,ACC107354310,8RQ27JGU,2017,9,92378
CC25350,ACC107365448,A8GKBMBO,2013,9,522690
CC25351,ACC107409532,ODVMNUDE,2014,8,184490
CC25352,ACC107420347,EA5CRL7L,2015,7,263321
CC25353,ACC107478781,6UI7RPCH,2013,4,492841
CC25354,ACC107599693,7BJYM94L,2014,1,202084
CC25355,ACC107626721,X3PZJF7F,2015,4,135641
CC25356,ACC107644098,YCSSMPV7,2016,1,579158
CC25357,ACC107674118,4EV9VXL8,2013,10,9842
CC25358,ACC107699345,IPNJFQTY,2014,9,138377
CC25359,ACC107730318,XPWNJRJC,2015,9,425448
CC25360,ACC107745709,3WHNSBRB,2016,4,76551
CC25361,ACC107806748,U245YKM8,2013,4,317338
CC25362,ACC107807037,68EFFKBB,2014,6,371051
CC25363,ACC107816637,NEUII7AB,2015,1,450908
CC25364,ACC10782345,F7CSLYWT,2016,9,806379
CC25365,ACC107849864,5EOMOZHG,2013,9,117211
CC25366,ACC107854090,6CYUTUFN,2014,9,607202
CC25367,ACC107907957,K7YUC8LF,2015,10,427025
CC25368,ACC107933689,LSMCXMXA,2016,4,293683
CC25369,ACC107968096,AALPBPBP,2017,9,418133
CC25370,ACC107986324,ZPX6VOH2,2013,4,176567
CC25371,ACC107991831,CDBFWQGM,2014,1,150822
CC25372,ACC108011343,JUQ76NJV,2015,9,71212
CC25373,ACC10801433,QHE7UULR,2016,9,86507
CC25374,ACC108038977,JRMNMZJA,2017,7,112727
CC25375,ACC108121690,GZ4EZZFX,2013,8,300789
CC25376,ACC108138022,9L9JFIAR,2014,10,252320
CC25377,ACC108166889,GTOE4RN4,2015,1,148960
CC25378,ACC108218423,CUYE7ST4,2016,6,309054
CC25379,ACC108233901,FFM6DHEA,2017,9,74214
CC25380,ACC108277055,5XUK7XLZ,2013,9,620996
CC25381,ACC108285318,4HTGJEEZ,2014,10,532589
CC25382,ACC108291586,RWYBAMRG,2015,8,342209
CC25383,ACC108297906,RQZGBGGN,2016,7,413060
CC25384,ACC108300052,ITVSUTU9,2017,7,580203
CC25385,ACC108364249,6UMDX7NQ,2013,4,216809
CC25386,ACC108373421,4IVKAFYY,2014,1,327541
CC25387,ACC108377271,ZKYOSQEU,2015,1,68742
CC25388,ACC108379675,9JYXIDL4,2016,4,72257
CC25389,ACC108431900,XNURWQBT,2017,4,48051
CC25390,ACC108479683,HVNIJFQC,2013,9,136154
CC25391,ACC108485737,CGGVBJKZ,2014,9,88939
CC25392,ACC108487825,JO9DV3NY,2015,9,163020
CC25393,ACC108501748,EYENUQR9,2016,9,405327
CC25394,ACC108506833,FPU4ZI8H,2017,9,457710
CC25395,ACC108507813,2MALVTY4,2013,9,198094
CC25396,ACC108537559,QN4REV7D,2014,4,3382
CC25397,ACC108554636,27F5ZEQA,2015,6,193781
CC25398,ACC108585516,MKJUE4K2,2016,4,348878
CC25399,ACC108596959,4ECWF4DN,2017,9,91979
CC25400,ACC108615572,KWBJAQMY,2013,7,309776
CC25401,ACC108667817,3YAW8OEY,2014,7,481783
CC25402,ACC108693055,ZHHFH7H9,2015,7,146262
CC25403,ACC108737615,BO2822VM,2016,4,49153
CC25404,ACC10874217,NQZUPVUA,2017,4,332918
CC25405,ACC108773448,MUT2PZ7T,2013,4,302309
CC25406,ACC108864814,2MFKPCPS,2014,9,117496
CC25407,ACC108881268,4RLVOVMJ,2015,9,139897
CC25408,ACC108881353,JISGN7XF,2016,9,117420
CC25409,ACC108909271,NNOFHDAC,2017,7,15333
CC25410,ACC108915287,ODE23CPW,2013,6,979526
CC25411,ACC108999271,ZNTYNFME,2014,6,288002
CC25412,ACC109067411,NQM48VKU,2015,6,3528718
CC25413,ACC109079900,DGVBCYY7,2016,4,99788
CC25414,ACC109091018,9F38NUKC,2017,4,299725
CC25415,ACC109105976,3Z7KCIZS,2013,4,547504
CC25416,ACC109150832,ERAX3STD,2014,9,198911
CC25417,ACC109161252,N9TCDYYG,2015,7,110086
CC25418,ACC109196944,R4UMWUZK,2016,9,170601
CC25419,ACC109203260,CPERTJBJ,2017,9,167371
CC25420,ACC109252840,4XK5BMA9,2013,8,373958
CC25421,ACC109257402,2PKDM5B2,2014,10,305482
CC25422,ACC109270950,SW5GTHZN,2015,4,461415
CC25423,ACC109272988,ATJAEQCJ,2016,4,232522
CC25424,ACC109273626,NHNXBSFY,2017,6,324539
CC25425,ACC109293827,NRGYTYZJ,2013,4,159676
CC25426,ACC109309703,UZNABWAT,2014,4,273182
CC25427,ACC109337030,CVP3VZN5,2015,9,101042
CC25428,ACC109342798,JEAYZXKC,2016,7,333640
CC25429,ACC109352278,87LFEVTZ,2013,8,229007
CC25430,ACC109413295,N7ZEJ2CQ,2014,8,536199
CC25431,ACC109417527,AQT3ADAP,2015,6,443840
CC25432,ACC109418346,WC8ROKF8,2016,6,77539
CC25433,ACC109436326,D9HWEXEV,2013,9,179208
CC25434,ACC10945871,MMHWGZCN,2014,9,129637
CC25435,ACC109463862,YKCAQFHU,2015,7,246525
CC25436,ACC109495956,NDPFBA9X,2016,8,304
CC25437,ACC109501973,3T6C7AEA,2013,1,170069
CC25438,ACC10953380,GZWB38J9,2014,4,189696
CC25439,ACC109565444,OFTXYNYQ,2015,4,180329
CC25440,ACC109639233,QYZQIXBJ,2016,9,256025
CC25441,ACC109672008,N7PJT5HO,2013,8,876147
CC25442,ACC109711980,JP2PNX9X,2014,9,380665
CC25443,ACC109739730,N3FUZDIH,2015,8,212306
CC25444,ACC109740877,UXKAVBLS,2016,4,353362
CC25445,ACC109823327,G24JWDKS,2017,4,300295
CC25446,ACC109861115,HQOKKQVX,2013,9,240863
CC25447,ACC10986121,HTXFVZZG,2014,10,64676
CC25448,ACC10989547,3TJKVA4J,2015,9,255018
CC25449,ACC109928659,CRGS7FPX,2016,1,93252
CC25450,ACC109948552,BTRJTMR3,2017,1,232142
CC25451,ACC109955461,ERLPQML7,2013,1,263093
CC25452,ACC109956104,9FDFXYAW,2014,1,56943
CC25453,ACC109968844,MEEKFDZZ,2015,9,792623
CC25454,ACC109992473,ZGY8ETLW,2016,7,56943
CC25455,ACC110000060,AXVUJHT9,2017,7,1060846
CC25456,ACC110002614,35ILRW7D,2013,1,19912
CC25457,ACC110006724,DR2U5JQX,2014,9,119757
CC25458,ACC110010813,WHZ7CEY6,2015,9,125039
CC25459,ACC110026636,UCPMS2KF,2016,9,242098
CC25460,ACC110028856,HB6MJHDN,2017,10,1238287
CC25461,ACC110062381,7NWFPJ2X,2013,6,77159
CC25462,ACC110084341,4QXD6K4K,2014,4,300884
CC25463,ACC110104660,D6H3RTAZ,2015,1,485982
CC25464,ACC110112040,L67WSXUY,2016,4,761254
CC25465,ACC110113357,IXHVY78L,2017,4,184281
CC25466,ACC1101400,H6KE88O6,2013,9,315932
CC25467,ACC110178735,EAPKN7G8,2014,9,174781
CC25468,ACC11019135,GQXJSFJE,2015,8,223725
CC25469,ACC110193596,BVHSRABV,2016,8,286748
CC25470,ACC110204198,DUY76GFX,2017,1,85975
CC25471,ACC110211511,O7H9KPSD,2013,1,58862
CC25472,ACC110218120,6EDBA5AN,2014,4,49286
CC25473,ACC110239176,V24CAXFM,2015,4,434910
CC25474,ACC110241336,SERPSAWP,2016,4,389101
CC25475,ACC110259637,H47QYY5K,2017,1,534033
CC25476,ACC110419018,5TYQNFPE,2013,9,335027
CC25477,ACC110455683,HGDB7KMR,2014,7,72371
CC25478,ACC110480470,DWH8Q2S3,2015,4,159714
CC25479,ACC110498250,USNBQZAK,2016,1,286596
CC25480,ACC110507680,I89VR4AB,2017,1,167238
CC25481,ACC11055875,ATZVVXWJ,2013,4,439812
CC25482,ACC110562365,HOKP6ZTS,2014,9,473708
CC25483,ACC110621488,ZDKT2SSW,2015,9,139479
CC25484,ACC110624735,DK5HJYQE,2016,8,254391
CC25485,ACC110633445,ABKW7FGW,2017,9,1376474
CC25486,ACC110647354,BCSW3W7T,2013,10,673512
CC25487,ACC110656007,6T4VNEWD,2014,4,622554
CC25488,ACC110656561,XBALBNYB,2015,1,94202
CC25489,ACC110657824,NWMJR3W5,2016,4,97052
CC25490,ACC110678100,Q5BJ4ULE,2017,9,631788
CC25491,ACC110721637,DOFSPEWD,2013,9,120612
CC25492,ACC110729234,ANX8FUBJ,2014,7,163153
CC25493,ACC110735745,KPR67SVO,2015,1,231553
CC25494,ACC110762041,44EV7IJE,2016,9,106001
CC25495,ACC11076597,VZEK4IOK,2017,9,87438
CC25496,ACC110767966,CZMKWRQN,2013,8,1515592
CC25497,ACC110777663,VGQUQLXT,2014,4,41230
CC25498,ACC110781700,MS6GASNJ,2015,9,171779
CC25499,ACC110782949,4ENG9TKV,2016,9,50825
CC25500,ACC110817380,UHRRWLGR,2017,9,60325
CC25501,ACC110883331,APFSHZYP,2013,9,597360
CC25502,ACC110915212,M7MURWXC,2014,7,419748
CC25503,ACC110941568,3EOATQBT,2015,4,1254
CC25504,ACC110989517,MDZG7EZX,2016,1,71041
CC25505,ACC110995089,QZ6LSSTB,2017,4,69331
CC25506,ACC111007586,Y7EEZYYS,2013,1,120460
CC25507,ACC111010262,RYKLU6HL,2014,4,108908
CC25508,ACC111018831,CWQ8OAQ8,2015,4,93043
CC25509,ACC111033364,WSFUNE28,2016,9,99294
CC25510,ACC111035242,9PFQKPRB,2017,4,38437
CC25511,ACC111047835,MCLXWKBC,2013,4,231610
CC25512,ACC111067651,NWDXDZEN,2014,1,187777
CC25513,ACC111081156,EBLDBRDR,2015,1,121448
