Credit_Card_ID,Account_No,net_yearly_income,yearly_debt_payments,credit_limit,avg_percentage_credit_card_limit_used_2018,avg_percentage_credit_card_limit_used_2019,avg_percentage_credit_card_limit_used_2020,Exp_year,Exp_month
C7923455,ACC101308228,339188.44,47080.22,79707.25,NA,0.62,0.86,2022,1
C2733968,ACC101403044,436298.76,57093.82,68994.7,0.62,0.78,0.74,2022,10
C2023055,ACC101427328,231703.88,60939.44,56994.99,NA,0.94,0.72,2022,8
C1289591,ACC101476439,279116.01,27681.97,36182,0.55,0.6,0.68,2021,8
C3526781,ACC101493085,158326.07,32856.86,38372.06,0.97,0.77,0.46,2022,10
C8934588,ACC101494614,145228.69,27581.12,43533.05,1.01,0.66,0.94,2021,8
C7542443,ACC10149780,273460.21,38136.99,47757.68,0.81,0.92,0.53,2021,10
C6427687,ACC101518574,78564.72,8273.45,14574.88,0.79,0.63,0.77,2022,8
C5242591,ACC101534320,138117.1,29260.79,23173.71,0.56,0.81,0.49,2021,4
C8624922,ACC101566236,113544.87,23273.73,18258.14,0.52,0.48,0.94,2021,6
C6637047,ACC101566727,205910.49,28887.93,29618.97,0.9,0.79,0.97,2022,4
C3815912,ACC101592758,222352.15,31214.02,61204.37,0.75,0.43,0.85,2022,6
C8837044,ACC101624506,181763.42,34648.74,65963.14,0.51,0.75,0.63,2021,4
C4237628,ACC101627092,66855.2,7828.73,11677.35,0.62,0.92,0.89,2022,1
C1516160,ACC101641642,145882.58,26002.7,16517.92,0.56,0.94,0.76,2022,8
C4415955,ACC101648448,131675.09,45038.75,28823.1,0.64,0.65,0.52,2021,8
C3932235,ACC101655463,196802.45,67776.67,56968.66,0.5,0.7,0.93,2022,10
C5623837,ACC101665843,228219.15,31385.88,25767.3,0.63,0.86,1.04,2021,9
C7415323,ACC101701665,297614.08,56366.67,72581.13,1.06,0.94,0.5,2022,4
C7642737,ACC1017083,167332.39,27387.05,32409.92,0.7,0.68,NA,2021,4
C2431680,ACC101736339,188847.73,39164.75,42054.91,0.73,0.61,0.46,2021,1
C1130989,ACC101751158,396261.54,51358.31,86886.64,0.65,0.58,0.38,2021,10
C3928242,ACC101798587,175062.36,44496.03,38753.36,0.87,0.82,0.81,2021,9
C2936517,ACC10179961,111893.28,18651.62,36726.86,0.71,0.87,0.82,2021,9
C1040842,ACC101804570,166059.83,15077.88,34734.78,0.8,0.93,0.69,2021,9
C8417574,ACC101805080,184561.86,35643.08,42487.61,0.38,0.69,NA,2021,7
C6730370,ACC101910479,102255.53,20860.19,20297.14,0.53,0.97,0.78,2022,10
C2726074,ACC101911234,146180.85,39003.32,21198.12,0.72,0.89,0.29,2021,9
C8017865,ACC101922709,115340.48,10802.97,12436.87,0.69,0.83,0.99,2021,9
C8932791,ACC101991271,337108.34,28170.05,114080.98,0.78,0.82,0.74,2022,10
C2725826,ACC101991796,262510.78,64567.28,37371.97,0.52,0.98,0.57,2021,1
C6694517,ACC102007405,192951.62,16319.48,41464.96,0.75,0.82,0.64,2021,1
C7527844,ACC102026593,154219.54,29277.87,41555.78,0.58,0.97,0.82,2021,1
C2016883,ACC102055086,496788.9,58153.1,167337.03,0.68,0.55,0.81,2021,1
C5930363,ACC102139391,200776.55,27239.24,63130.12,0.92,0.75,0.46,2021,4
C1021343,ACC102160978,178454.3,18418.62,37603.8,0.84,0.87,0.79,2022,4
C5529374,ACC102172086,204635.67,34308.97,76219.64,0.91,0.99,0.73,2022,1
C3013442,ACC10217442,160311.94,18618.07,21479.91,0.77,0.53,0.71,2021,1
C6612422,ACC102174484,196439.26,19463.05,60118.04,0.93,0.7,NA,2022,1
C8342660,ACC102184080,197104.16,16987.24,37201.78,0.56,0.4,0.63,2021,4
C4824547,ACC102197658,310520.68,42842.99,36921.53,0.89,0.98,0.75,2021,4
C1711530,ACC102240326,285585.14,31920.58,91438.38,0.97,0.74,0.85,2021,4
C8640537,ACC102253114,317301.4,16509.03,41077.6,0.81,0.89,0.58,2022,4
C3839727,ACC102272113,121904.43,16775.57,27649.18,0.8,0.79,0.51,2022,4
C2715454,ACC102293467,407161.11,69362.53,137211.25,1.03,NA,NA,2021,6
C5931634,ACC102325941,371297.33,9718.73,94239.73,0.5,0.75,0.65,2021,4
C7918237,ACC10233035,185886.74,11281.07,56551.22,0.8,0.61,0.26,2021,1
C1625292,ACC102339442,213610.27,33914.3,45091.39,0.95,0.58,0.67,2022,4
C2211527,ACC102355309,184927.18,9960.35,34193.71,0.75,0.97,0.73,2021,1
C6030281,ACC102357704,147884.9,12895.72,20428.38,1.03,0.78,0.64,2021,6
C1925215,ACC102358915,273182.99,5189.99,67530.32,0.84,1.07,0.77,2021,8
C6040326,ACC102367958,144260.33,45529.52,50196.83,0.88,0.47,0.6,2021,10
C5232732,ACC102386591,276140.9,31843.21,89057.93,0.45,0.58,0.7,2021,10
C1616335,ACC102410237,177394.77,40433.91,31070.96,0.87,NA,0.64,2022,10
C4226473,ACC102445746,186924.17,22759.76,39063.86,0.58,0.57,0.73,2022,7
C3232257,ACC102447757,262681.31,16464.87,60035.39,0.74,0.8,0.82,2022,8
C1717631,ACC102496875,287256.07,49715.88,34923.22,0.39,0.96,0.74,2021,7
C7130627,ACC102498456,222759.77,44249.87,45968.05,0.83,0.95,0.67,2022,7
C1713934,ACC102512534,109227.86,26252.15,35299.82,0.75,0.74,0.85,2021,7
C2742048,ACC102548333,130956.16,13673.28,45587.79,0.77,0.58,0.81,2021,10
C4953770,ACC102556533,138800.96,29910.7,37330.36,0.9,0.52,1.08,2022,2
C6427021,ACC102561339,424453.13,42603.38,93775.5,0.98,0.62,0.59,2022,4
C7833983,ACC102570451,198618.18,17271.53,64739.57,0.7,1,0.95,2021,4
C7924053,ACC102599395,167132.66,17849.16,42614.09,0.62,0.73,0.45,2021,4
C7118047,ACC102617607,166559,17748.13,27744.36,0.54,0.74,0.97,2021,1
C5836729,ACC102639753,160353.94,47761.25,25844.29,0.98,0.99,1.03,2021,1
C5712211,ACC102655593,135980.66,17061.84,41687.78,0.69,0.68,0.85,2021,1
C5910145,ACC102665784,158006.23,11003.21,23677.86,0.71,0.88,0.58,2022,1
C8311768,ACC102696235,121989.05,33527.12,23462.46,0.82,1.04,0.73,2022,1
C4417481,ACC102819975,351055.77,39105.83,55390.96,1.05,0.92,0.54,2022,1
C4974913,ACC102869778,393985.84,21522,43139.62,0.61,0.76,0.24,2021,4
C3911031,ACC102876917,211510.13,26770.69,71940.37,0.97,0.73,0.75,2022,1
C7641090,ACC102883264,102399.51,16740.38,30363.16,0.95,0.9,0.77,2022,6
C7317029,ACC102897790,84738.99,13601.1,17398.21,0.57,0.71,NA,2021,10
C4232113,ACC102913817,191178.61,27413.76,44837.44,0.49,0.6,0.53,2021,8
C5024473,ACC102938090,170482.32,11147.35,33264.63,0.74,0.63,0.73,2022,9
C4932115,ACC102940022,164266.03,36801.28,31712.85,0.68,0.53,0.7,2021,9
C2611254,ACC10294220,266699.91,59155.28,58851.63,0.77,NA,0.82,2021,9
C6932571,ACC102972144,166342.82,54093.79,52348.12,0.39,0.64,0.77,2021,9
C8724471,ACC103040201,187083.41,41477.28,40472.18,0.89,0.83,0.67,2021,9
C4619519,ACC103135295,145165.2,49514.21,41066.76,0.75,0.75,0.79,2021,9
C1127458,ACC103136713,203056.23,10370.98,31143.95,0.68,1.03,0.78,2021,9
C4117761,ACC103162369,122112.57,28192.57,26671.85,0.79,0.66,0.96,2021,9
C8441772,ACC103178567,254509.08,49413.03,51974.2,1.05,1.08,0.6,2021,1
C2024260,ACC10320485,194366.71,29593.74,60747.2,0.88,0.67,0.68,2021,4
C7785966,ACC103206026,293389.92,36940.47,65467.56,NA,0.73,0.67,2021,4
C5027040,ACC103214903,339304.98,63735.37,106954.43,1.02,0.84,0.77,2021,1
C2417034,ACC103231943,45965,9593.07,16108.9,0.95,0.8,0.86,2022,4
C1642073,ACC103232653,260308.39,86567.1,70976.47,0.78,0.76,0.55,2021,4
C2511417,ACC103265319,149459.08,34210.42,35605.7,0.61,0.83,0.74,2021,6
C6133064,ACC103366725,143684.84,30929.66,24068.81,0.68,0.89,0.75,2022,6
C7614444,ACC103379708,182465.21,22350.71,62883.83,1,0.64,0.8,2021,6
C5343690,ACC103398813,199973.95,49238.57,35200.94,0.68,0.69,NA,2021,10
C1441611,ACC103419512,183815.01,25020.09,55886.37,0.58,0.85,0.79,2021,10
C1611437,ACC103429765,116146.46,20934.76,18049.61,0.7,0.77,0.88,2022,10
C1537466,ACC103439009,240351.79,57958.56,71038.14,0.62,0.5,1.08,2021,9
C4234628,ACC103490426,105207.86,20382.12,36627.51,0.69,0.74,0.42,2022,7
C4325284,ACC103496438,186022.24,14742.96,22447.48,0.79,0.91,NA,2022,8
C8430783,ACC103500297,185936.51,28998.58,33681.8,0.92,0.69,0.78,2021,8
C6419838,ACC103542122,285490.11,31803.2,41217.12,0.66,0.64,0.81,2022,8
C2442760,ACC103566689,85002.78,16865.78,14948.98,0.7,0.66,0.91,2021,10
C5236621,ACC103589245,423656.56,50633.54,47270.2,0.71,0.56,0.86,2021,10
C7226281,ACC103656638,291781.06,30934.5,53593.78,1.05,0.73,0.71,2022,8
C2635440,ACC103678530,150453.33,22601.02,40469.14,0.55,0.81,0.76,2021,8
C5940325,ACC103699196,192361.55,22157.04,46605.75,0.73,1.07,0.25,2022,9
C1272724,ACC103700842,164806.95,17573.2,34525.95,0.56,0.63,0.95,2021,9
C5034425,ACC103703133,261648.55,27102.73,31882.13,0.8,0.88,0.83,2021,9
C1011359,ACC103713932,231762.2,48798.01,27836.13,0.52,0.39,0.64,2022,10
C6324674,ACC103735196,171373.15,40985.18,21551.86,0.9,0.75,0.94,2021,4
C8737387,ACC103739172,251549.8,30936.79,42590.61,1.02,NA,0.7,2021,6
C3334638,ACC103778899,223023.21,27947.16,32486.19,0.79,0.75,0.47,2021,6
C7917762,ACC103784406,201160.71,31219.91,28916.77,NA,0.71,0.63,2021,4
C8037570,ACC103794992,224970.94,15025.66,68571.03,0.64,0.48,0.7,2021,6
C6322261,ACC103796163,219878.91,20450.59,41209.51,0.7,0.53,0.67,2021,4
C6943550,ACC103797074,127597.34,14450.26,16545.48,0.46,0.7,0.39,2022,6
C8520931,ACC103801420,313947.73,36900.92,37044.7,0.65,1.04,0.72,2021,4
C7742540,ACC103841770,172064.49,14541.86,27136.78,0.96,0.83,0.46,2021,6
C7231945,ACC103859770,305911.73,30873.22,64680.28,0.68,0.89,0.6,2021,4
C7530036,ACC103866030,152701.13,42659.67,51019.43,0.95,0.85,0.71,2022,4
C2837736,ACC103897315,47425.03,9422.34,9552.49,1.01,NA,0.68,2021,6
C1268950,ACC103930944,125244.18,41938.76,16344.04,0.6,0.51,0.67,2021,6
C7410760,ACC103978330,265387.92,65323.42,59715.22,0.94,0.89,0.63,2021,7
C7840374,ACC10397936,119408.78,27411.31,24378.71,0.86,NA,0.74,2021,10
C2215655,ACC104040303,186434.07,26846.68,25411.37,0.42,0.95,0.87,2021,8
C5054958,ACC104064153,157821.66,28876.93,46605.65,0.58,0.85,0.77,2021,7
C8695466,ACC104069031,160369.87,39487.77,56827.92,0.69,0.78,0.5,2021,7
C1437248,ACC104079469,96703.49,37353.51,16143.96,0.56,0.61,0.44,2021,8
C8891737,ACC104081492,166461.41,34750.64,49110.34,0.68,0.89,0.76,2021,7
C6125425,ACC104082759,142724.66,8267.89,46348.14,1.08,0.57,0.86,2021,10
C4023754,ACC10411599,196767.33,51906.21,51935.7,0.39,0.77,0.69,2021,7
C4332787,ACC104144975,169846.51,28547.67,27048.81,0.92,1.04,1.09,2021,10
C5220931,ACC10415297,157706.41,40059.7,28123.74,0.85,0.65,0.6,2021,7
C1840488,ACC104159790,338627.64,73477.67,87276.96,0.88,0.9,0.87,2022,6
C2918640,ACC104183580,82408.79,24458.91,14859.46,0.71,0.77,0.53,2021,1
C8214849,ACC104227201,228726.64,,26160.12,0.77,0.66,0.63,2021,6
C5698953,ACC104256389,133297.24,46969.21,35263.57,0.35,0.76,0.55,2021,10
C5710590,ACC104266858,77463.22,10302.03,15714.55,0.89,0.53,NA,2021,1
C4631217,ACC104286901,139142.34,31114.15,30275.85,0.43,0.6,1.01,2022,4
C4829664,ACC104310176,297420.44,41165.3,35897.35,0.66,0.91,0.67,2022,1
C8934869,ACC104330627,304187.74,55917.15,38733.26,NA,0.58,0.32,2021,1
C4834518,ACC104335901,123313.67,29493.07,16248.43,0.72,NA,0.8,2021,4
C1638021,ACC104349196,221567.31,40869.63,40712.94,0.46,0.68,0.68,2021,1
C5523764,ACC104349533,375987.53,29134.83,61563.31,0.52,0.62,0.6,2021,1
C1315664,ACC104370141,102821.74,15098.93,29499.1,NA,0.83,0.19,2022,4
C8231241,ACC104370482,76406.7,27196.83,9774.02,0.62,NA,1.08,2021,4
C6323747,ACC104376712,143484.95,17972.23,16805.84,0.51,1.05,0.67,2021,6
C4742524,ACC104377618,207241.54,7644.68,55339.25,0.61,0.8,1.04,2022,9
C7537492,ACC104426539,85738.01,20918.62,16644.26,0.62,0.63,0.86,2022,9
C1516222,ACC104429071,189321.15,27787.98,29446.46,0.5,0.53,0.64,2021,9
C1931276,ACC104469763,87162.73,20202.31,13174.7,0.38,0.89,0.83,2021,9
C4138629,ACC10447245,168008.25,28044.5,32963.45,0.96,0.4,0.89,2021,9
C6417852,ACC104510521,246392.22,26440.35,43832.47,0.41,NA,0.73,2021,9
C4325361,ACC104565093,145770.83,37294.75,47634.02,0.25,0.9,0.89,2022,1
C5633923,ACC104580159,146279.31,25237.3,25757.55,1.06,0.77,NA,2021,6
C1938713,ACC104608905,316514.35,23896.89,56607.81,0.74,NA,0.59,2021,4
C7512180,ACC104611882,299697.16,36482.45,109387.2,0.61,0.85,0.53,2021,1
C3720487,ACC104627723,113771.58,45049.91,13571.99,0.79,0.88,0.84,2022,4
C8380118,ACC104669833,181763.66,20831.99,28626.06,0.92,1,1.08,2021,4
C5922155,ACC104700449,136616.59,42935.53,21467.69,0.54,0.87,0.79,2022,4
C2440683,ACC104704727,300532.48,33766.07,85856.34,1.03,0.64,0.31,2022,4
C6297162,ACC104710659,262409.48,16788.03,35336.82,1.01,NA,NA,2021,4
C6276018,ACC104745116,122450.25,30528.19,31501.92,0.54,0.73,0.92,2021,4
C6370750,ACC104802557,131369.8,30252.48,18011.82,0.55,0.54,0.59,2022,1
C7534237,ACC104810645,151439.79,49732.83,42396.43,0.74,0.54,0.85,2021,10
C3881215,ACC104847579,133420.42,17071.5,15899.88,0.95,0.39,0.86,2021,8
C7675278,ACC104927920,493758.13,21455.65,63545.45,0.61,0.7,0.61,2021,9
C6814469,ACC104929353,233982,55545.72,63883.62,0.63,0.6,0.59,2022,9
C3135066,ACC104963998,68358.12,10969.11,16289.46,0.61,0.57,0.93,2021,9
C1726754,ACC104971839,100582.77,28262.66,24037.43,0.84,0.54,0.79,2022,8
C5067828,ACC105004683,290781.89,29027.76,81008.94,0.38,0.53,0.7,2021,10
C8121828,ACC105007915,141003.46,14186.22,32994.01,0.74,0.78,0.91,2021,8
C8426486,ACC105033379,173956.93,10021.84,54008.25,0.95,0.62,0.92,2021,9
C5117177,ACC105046957,374488.9,69166.66,50562.85,0.95,0.61,0.67,2021,9
C1719155,ACC105047610,108295.77,8889.76,32303.47,0.63,0.58,0.79,2022,9
C7931754,ACC105066142,141679.88,17159.83,28262.88,0.6,0.14,0.71,2022,9
C7034179,ACC105070062,291816.07,76935.53,39531.62,0.95,0.37,0.47,2021,9
C7212335,ACC105070464,83487.98,7825.73,18677.29,0.75,0.93,0.61,2021,9
C5413870,ACC105131048,170100.49,39708.83,41615.43,0.74,0.57,0.57,2022,9
C2435753,ACC105204437,184721.17,26942.64,38760.06,0.8,0.59,0.92,2022,9
C4830619,ACC105205269,136757.38,13528.87,45161.73,0.81,0.72,0.77,2021,9
C2880664,ACC105206484,94992.3,29691.84,16259.9,0.57,0.78,1.05,2021,9
C9022645,ACC105210588,252565.03,34434.58,38766.46,0.58,0.73,0.85,2021,9
C2213811,ACC10524491,148537.51,40484.92,36834.41,0.75,0.88,0.67,2021,9
C7541566,ACC10525473,86607.26,21492.89,9456.51,0.34,1.01,0.66,2021,9
C2429086,ACC105271209,182212.95,14452.69,27893.65,0.83,0.44,0.82,2022,9
C6918371,ACC105277945,53629.69,9498.84,18279.51,0.78,0.79,1.09,2021,10
C7527049,ACC105351984,139481.76,53271.37,24415.91,0.52,0.17,0.62,2021,10
C6058483,ACC105368096,181947.65,51703.4,34506.3,0.65,0.76,0.61,2021,1
C4456638,ACC105391696,196574.87,79260.83,49587.42,0.57,0.67,0.66,2022,6
C2811892,ACC105401234,418351,12755.45,64960,0.59,1.01,0.59,2021,6
C7823561,ACC105409836,250834.4,78883.45,35602.55,0.72,0.42,0.59,2021,1
C6520033,ACC105472167,197442.06,35012.73,68099.05,0.39,1.05,0.61,2021,6
C2110492,ACC105477427,119991.27,35887.1,48676.77,0.72,0.64,NA,2021,6
C4217328,ACC105487643,261331.07,65785.3,34661.31,0.77,1.04,0.92,2021,6
C6927275,ACC105650675,158103.88,27868.94,37396.82,0.76,0.56,0.82,2021,4
C2042372,ACC105691545,70070.96,19225.15,14039.65,0.46,NA,0.98,2022,6
C3727411,ACC105740749,260394.68,52596.74,32160.27,0.76,NA,1.09,2022,4
C5136863,ACC105741321,75622.05,15470.98,10404.83,0.76,0.58,0.59,2022,6
C2434983,ACC105786029,299063.94,14928.22,36781.36,0.97,0.73,0.64,2021,6
C1626454,ACC105786897,192478.83,42955.45,45981.51,1,0.6,0.82,2022,4
C1316616,ACC105801595,280187.05,15604.35,55103.81,0.89,0.94,0.67,2021,1
C5042661,ACC105823798,116107.41,33613.3,13394.81,0.85,0.76,1.05,2022,6
C4531588,ACC105823887,336271.73,45360.69,60192.58,0.69,0.81,0.53,2021,6
C5528968,ACC105835029,73590.44,32235.75,13492.77,0.52,0.98,0.64,2021,1
C4814390,ACC105885399,71968.82,7035.52,24325.35,0.48,0.65,0.66,2021,8
C6437438,ACC105897920,424830.27,69550.82,131389.72,0.48,NA,0.2,2021,8
C8738676,ACC105904243,295325.49,39215.15,38519.72,0.87,0.73,0.34,2021,8
C1812573,ACC105937484,172332.73,24753.91,31436.09,0.95,0.77,0.87,2021,8
C8915718,ACC105956293,393055.61,35034.37,88894.67,1.06,0.73,0.68,2022,8
C5334280,ACC105981758,159636.95,27197.4,24620.42,1.04,0.49,NA,2021,7
C5920074,ACC105990578,153996.31,14298.82,41896.83,0.84,0.31,0.66,2021,8
C1733292,ACC106011412,160278.76,44605.42,19433.69,0.29,0.85,0.33,2021,7
C6230681,ACC106017609,86051.6,11935.18,26106.22,0.53,0.65,0.6,2021,8
C1977592,ACC106028071,267790,37434.56,49440.59,1.06,0.66,0.89,2022,4
C4418491,ACC10605040,118492.58,38275.91,19791.23,0.39,0.62,0.5,2021,1
C5212180,ACC106060688,153328.18,43616.39,24091.17,0.43,0.93,0.24,2021,4
C5227319,ACC106064966,191792.37,52265.62,25284.46,0.68,0.88,0.38,2021,1
C9016392,ACC106080886,225017.28,8954.36,56894.61,0.89,0.82,0.78,2022,1
C3531473,ACC106083355,99824.78,27578.43,21160.47,0.82,0.63,0.53,2021,4
C7340149,ACC10608741,553840.16,96139.51,123952.05,NA,0.8,0.64,2022,4
C8091089,ACC106094687,119180.5,23283.66,32462.92,0.45,0.61,0.46,2021,4
C7878838,ACC106124933,131233.89,66003.07,47574.36,0.56,0.65,1.07,2021,1
C8917722,ACC106174636,246016.61,33290.43,80392.84,0.87,1.02,NA,2021,7
C8627747,ACC10617610,142587.42,29570.53,25415.25,0.65,0.53,0.92,2022,9
C5312019,ACC106224212,290153.21,57018.31,45810.75,NA,0.73,1.06,2022,9
C7621186,ACC106229547,203763.64,47507.12,48041.81,0.81,0.56,0.78,2021,9
C7832128,ACC106244550,168374.08,34607.57,59150.19,0.67,0.51,0.82,2021,9
C8910280,ACC106285710,232142.03,20625.01,47538.01,0.71,0.77,NA,2022,9
C2526046,ACC106316071,199953.51,56086.76,47343.4,1.01,0.7,0.93,2022,9
C2632615,ACC106344327,207013.94,23769.67,53844.32,0.65,0.48,0.81,2021,9
C2822770,ACC106389633,175387.9,17161.97,68069.4,0.53,0.93,0.82,2021,4
C8439216,ACC106398922,196242.42,15038.18,33898.24,1.05,0.87,0.95,2022,6
C6432618,ACC106422810,124779.47,19125.75,41314.43,0.62,0.51,0.43,2021,4
C5310729,ACC106431038,86009.22,33523.38,21864.15,0.67,0.76,0.99,2021,4
C5741387,ACC106463509,82054.4,26394.67,14852.13,0.43,0.4,0.35,2022,1
C6676689,ACC106507046,120568.85,27343.68,15398.97,0.81,0.5,NA,2021,6
C7472456,ACC106585474,138904.52,37394.93,28644.41,0.8,0.94,0.79,2022,7
C3117918,ACC106587783,193737.98,32279.33,47845.74,0.89,0.53,0.94,2021,10
C1837362,ACC106609164,98317.08,27403.58,22367.87,0.59,NA,0.85,2021,8
C1428060,ACC106610333,393692.77,72043.92,43439.46,0.39,0.67,1.01,2021,10
C7629962,ACC106629167,194702.28,54625.29,34375.36,1.07,0.89,0.87,2022,10
C7921623,ACC106630987,304545.21,33926.82,68349.6,0.6,0.71,0.47,2021,10
C5129934,ACC106654035,288391.73,44424.36,85971.22,1.04,0.63,0.48,2021,10
C7327571,ACC106713669,275849.45,54274,53564.6,0.91,0.71,0.69,2021,8
C3460025,ACC106725636,120156.41,18333.39,35361.09,0.65,0.68,1.02,2022,10
C7812071,ACC106726333,264179.38,25498.81,87174.56,0.83,0.67,0.59,2021,9
C1728525,ACC106735837,152216.51,14643.17,43164.13,0.67,0.6,0.64,2021,9
C4636775,ACC106750909,233177.45,32862.27,50549.81,NA,1,1.04,2022,7
C3871476,ACC106781084,137915.43,30448.77,46895.34,0.62,0.63,0.78,2021,7
C5122418,ACC106810115,105282.24,13490.72,24701.53,0.68,0.71,0.63,2022,7
C8920230,ACC106847356,183173.32,9406.14,29449.57,1.05,0.91,0.65,2021,7
C4336382,ACC106850688,364107.57,44014.73,105482.45,NA,0.55,0.72,2021,8
C7058034,ACC106858331,116718.61,17158.88,32188.79,0.62,NA,1,2021,9
C5411869,ACC106876677,284063.83,51905.03,49352.71,0.88,0.8,NA,2022,9
C6952840,ACC106932087,136027.87,20169.62,30739.1,0.99,0.84,0.64,2022,9
C8732711,ACC10699572,245522.59,24575.16,31934.53,0.58,0.73,1,2022,9
C7421711,ACC106997694,170067.01,66046.71,42672.62,0.85,0.4,0.93,2021,10
C3151961,ACC107003950,230319.56,37975.71,63457.1,0.69,1.07,0.68,2021,10
C7338641,ACC107029320,186811.63,24216.97,23055.13,0.69,1.05,0.59,2021,8
C4318459,ACC107058093,242727.74,25188.5,95506.3,0.84,0.97,0.83,2021,1
C7325318,ACC107079042,172197.05,34591.41,20320.69,NA,0.62,0.39,2022,4
C7136280,ACC107088999,157275.22,11446.56,19585.92,0.73,0.93,0.99,2021,6
C4026349,ACC107130258,242919.68,31092.42,39622.15,0.76,0.7,1.04,2021,6
C3418523,ACC107151963,119253.84,17985.84,27449.8,1.03,0.94,1.07,2022,4
C7118840,ACC10717363,174093.31,43164.13,54587.42,0.62,0.75,0.5,2021,6
C9045422,ACC107229541,171642.03,14100.67,35810.48,0.9,0.9,0.55,2021,1
C2324371,ACC107273007,198271.58,15120.72,66706.64,0.65,0.98,0.75,2021,1
C7119722,ACC107292809,157074.94,29395.18,48231.96,0.66,0.56,0.69,2021,1
C4111528,ACC107299370,266890.87,41086.49,41423.98,0.53,0.62,0.81,2021,1
C4241947,ACC107299557,392306.02,41541.33,55186.09,0.31,0.82,0.74,2022,6
C1851438,ACC107313562,186896.43,22220.53,44625,0.82,0.87,0.7,2022,4
C3537555,ACC107320121,273488.35,51774.69,64763.48,0.54,0.24,0.94,2022,6
C8046459,ACC107323728,153564.18,26155.24,50153.76,0.75,0.75,0.59,2021,4
C4637288,ACC107337256,116406.28,18840.16,21210.99,0.96,0.83,0.41,2022,1
